#The data is: Date,Time,Latitude,Longitude,T,ROW,DIR,SPD
2008-10-31, 14:00:00,42.246,89.582,11.0,43.0,210.0,5.7
2008-10-31, 14:00:00,38.665,88.453,11.0,43.0,170.0,3.1
2008-10-31, 14:00:00,38.379,88.413,11.0,43.0,180.0,3.1
2008-10-31, 14:00:00,40.938,90.431,11.0,43.0,170.0,4.1
2008-10-31, 14:00:00,37.811,88.549,11.0,43.0,130.0,1.5
2008-10-31, 14:00:00,41.540,87.532,11.0,43.0,210.0,4.6
2008-10-31, 14:00:00,39.774,90.239,12.0,43.0,180.0,4.1
2008-10-31, 14:00:00,41.071,87.846,9.0,43.0,200.0,3.6
2008-10-31, 14:00:00,41.518,88.175,10.0,43.0,190.0,1.5
2008-10-31, 14:00:00,41.608,88.094,9.0,43.0,0.0,0.0
2008-10-31, 14:00:00,38.760,87.599,10.0,43.0,190.0,3.1
2008-10-31, 14:00:00,37.186,88.750,NaN,43.0,NaN,NaN
2008-10-31, 14:00:00,37.783,89.245,13.3,43.0,170.0,2.1
2008-10-31, 14:00:00,41.784,87.755,11.1,43.0,220.0,3.1
2008-10-31, 14:00:00,41.451,90.515,12.2,43.0,190.0,1.5
2008-10-31, 14:00:00,40.520,90.652,15.0,43.0,200.0,4.1
2008-10-31, 14:00:00,39.478,88.279,10.0,43.0,180.0,5.1
2008-10-31, 14:00:00,38.317,88.867,12.0,43.0,200.0,4.1
2008-10-31, 14:00:00,37.750,89.001,13.0,43.0,180.0,5.1
2008-10-31, 14:00:00,38.722,88.176,12.0,43.0,170.0,3.6
2008-10-31, 14:00:00,41.980,87.904,11.1,43.0,230.0,3.6
2008-10-31, 14:00:00,40.667,89.684,10.0,43.0,190.0,3.6
2008-10-31, 14:00:00,40.924,88.625,12.0,43.0,180.0,2.6
2008-10-31, 14:00:00,39.639,90.778,12.0,43.0,0.0,0.0
2008-10-31, 14:00:00,39.700,87.670,11.0,43.0,200.0,4.6
2008-10-31, 14:00:00,42.121,87.905,11.7,43.0,200.0,4.6
2008-10-31, 14:00:00,42.193,89.093,9.4,43.0,180.0,3.1
2008-10-31, 14:00:00,41.893,89.078,7.0,43.0,190.0,2.6
2008-10-31, 14:00:00,39.016,87.650,11.0,43.0,190.0,4.1
2008-10-31, 14:00:00,38.149,89.699,12.0,43.0,180.0,4.6
2008-10-31, 14:00:00,42.046,90.108,9.0,43.0,160.0,2.6
